# EN	PL	FR	ES   (Mayhem sıralama/ses metinleri; listede olmayan metin EN'den aynen alınır)
Oxford University	Uniwersytet Oksfordzki	Université d'Oxford	Universidad de Oxford
Tenochtitlan (Aztec)	Tenochtitlán (Aztekowie)	Tenochtitlan (Aztèques)	Tenochtitlan (aztecas)
Taj Mahal	Tadż Mahal	Taj Mahal	Taj Mahal
Bicycle	Rower	Vélo	Bicicleta
Car	Samochód	Voiture	Coche
Aeroplane	Samolot	Avion	Avión
Moon rocket	Rakieta księżycowa	Fusée lunaire	Cohete lunar
Bach born	Narodziny Bacha	Naissance de Bach	Nace Bach
Mozart born	Narodziny Mozarta	Naissance de Mozart	Nace Mozart
Chopin born	Narodziny Chopina	Naissance de Chopin	Nace Chopin
The Beatles formed	Powstanie The Beatles	Formation des Beatles	Se forman los Beatles
First modern Olympics	Pierwsze nowożytne igrzyska	Premiers JO modernes	Primeros JJ. OO. modernos
First Tour de France	Pierwszy Tour de France	Premier Tour de France	Primer Tour de Francia
First World Cup	Pierwszy mundial	Première Coupe du monde	Primer Mundial
First European Cup	Pierwszy Puchar Europy	Première Coupe d'Europe	Primera Copa de Europa
Eyeglasses	Okulary	Lunettes	Gafas
Microscope	Mikroskop	Microscope	Microscopio
Telescope	Teleskop	Télescope	Telescopio
Light bulb	Żarówka	Ampoule	Bombilla
Tokyo Olympics	Igrzyska w Tokio	JO de Tokyo	JJ. OO. de Tokio
Moscow Olympics	Igrzyska w Moskwie	JO de Moscou	JJ. OO. de Moscú
Barcelona Olympics	Igrzyska w Barcelonie	JO de Barcelone	JJ. OO. de Barcelona
Beijing Olympics	Igrzyska w Pekinie	JO de Pékin	JJ. OO. de Pekín
Copernicus's book	Księga Kopernika	Le livre de Copernic	El libro de Copérnico
Newton's Principia	Principia Newtona	Les Principia de Newton	Los Principia de Newton
Darwin's Origin	O powstawaniu gatunków	L'Origine des espèces	El origen de las especies
Einstein's relativity	Teoria względności	La relativité d'Einstein	La relatividad de Einstein
Atom	Atom	Atome	Átomo
Bacterium	Bakteria	Bactérie	Bacteria
Ant	Mrówka	Fourmi	Hormiga
Elephant	Słoń	Éléphant	Elefante
The Moon	Księżyc	La Lune	La Luna
Mercury	Merkury	Mercure	Mercurio
Earth	Ziemia	La Terre	La Tierra
Jupiter	Jowisz	Jupiter	Júpiter
Ping-pong ball	Piłeczka pingpongowa	Balle de ping-pong	Pelota de ping-pong
Tennis ball	Piłka tenisowa	Balle de tennis	Pelota de tenis
tr:Futbol topu	Piłka nożna	Ballon de football	Balón de fútbol
Exercise ball	Piłka do ćwiczeń	Ballon de gym	Pelota de pilates
6.7 cm	6,7 cm	6,7 cm	6,7 cm
Vatican City	Watykan	Vatican	Ciudad del Vaticano
Monaco	Monako	Monaco	Mónaco
Luxembourg	Luksemburg	Luxembourg	Luxemburgo
0.44 km²	0,44 km²	0,44 km²	0,44 km²
2,586 km²	2586 km²	2 586 km²	2.586 km²
Poland	Polska	Pologne	Polonia
Spain	Hiszpania	Espagne	España
Turkey	Turcja	Turquie	Turquía
Argentina	Argentyna	Argentine	Argentina
312k km²	312 tys. km²	312 000 km²	312.000 km²
506k km²	506 tys. km²	506 000 km²	506.000 km²
783k km²	783 tys. km²	783 000 km²	783.000 km²
2.78M km²	2,78 mln km²	2,78 M km²	2,78 M km²
8,849 m	8849 m	8 849 m	8.849 m
Arctic Ocean	Ocean Arktyczny	Océan Arctique	Océano Ártico
Indian Ocean	Ocean Indyjski	Océan Indien	Océano Índico
Atlantic Ocean	Ocean Atlantycki	Océan Atlantique	Océano Atlántico
Pacific Ocean	Ocean Spokojny	Océan Pacifique	Océano Pacífico
Thames	Tamiza	Tamise	Támesis
Rhine	Ren	Rhin	Rin
Danube	Dunaj	Danube	Danubio
Nile	Nil	Nil	Nilo
1,230 km	1230 km	1 230 km	1.230 km
2,850 km	2850 km	2 850 km	2.850 km
6,650 km	6650 km	6 650 km	6.650 km
A football match	Mecz piłkarski	Un match de foot	Un partido de fútbol
A feature film	Film pełnometrażowy	Un long métrage	Un largometraje
One day	Jedna doba	Une journée	Un día
The Moon's orbit	Obieg Księżyca	L'orbite de la Lune	La órbita de la Luna
~2 hours	~2 godz.	~2 heures	~2 horas
24 hours	24 godz.	24 heures	24 horas
27 days	27 dni	27 jours	27 días
Housefly	Mucha domowa	Mouche	Mosca
Mouse	Mysz	Souris	Ratón
Dog	Pies	Chien	Perro
Giant tortoise	Żółw olbrzymi	Tortue géante	Tortuga gigante
4 weeks	4 tygodnie	4 semaines	4 semanas
2 years	2 lata	2 ans	2 años
12 years	12 lat	12 ans	12 años
100+ years	100+ lat	100+ ans	100+ años
Mars (closest)	Mars (najbliżej)	Mars (au plus près)	Marte (lo más cerca)
The Sun	Słońce	Le Soleil	El Sol
384k km	384 tys. km	384 000 km	384.000 km
55M km	55 mln km	55 M km	55 M km
150M km	150 mln km	150 M km	150 M km
~600M km	~600 mln km	~600 M km	~600 M km
Venus	Wenus	Vénus	Venus
Mars	Mars	Mars	Marte
Saturn	Saturn	Saturne	Saturno
Neptune	Neptun	Neptune	Neptuno
Snail	Ślimak	Escargot	Caracol
Running human	Biegnący człowiek	Humain qui court	Humano corriendo
Horse	Koń	Cheval	Caballo
Cheetah	Gepard	Guépard	Guepardo
0.05 km/h	0,05 km/h	0,05 km/h	0,05 km/h
Car on a motorway	Auto na autostradzie	Voiture sur autoroute	Coche en autopista
High-speed train	Szybki pociąg	TGV	Tren de alta velocidad
Airliner	Samolot pasażerski	Avion de ligne	Avión de pasajeros
Rabbit	Królik	Lapin	Conejo
Sheep	Owca	Mouton	Oveja
5,000 kg	5000 kg	5 000 kg	5.000 kg
Norway	Norwegia	Norvège	Noruega
5.5M	5,5 mln	5,5 M	5,5 M
37M	37 mln	37 M	37 M
48M	48 mln	48 M	48 M
85M	85 mln	85 M	85 M
Kraków	Kraków	Cracovie	Cracovia
Barcelona	Barcelona	Barcelone	Barcelona
Istanbul	Stambuł	Istanbul	Estambul
0.8M	0,8 mln	0,8 M	0,8 M
1.6M	1,6 mln	1,6 M	1,6 M
3.3M	3,3 mln	3,3 M	3,3 M
15.6M	15,6 mln	15,6 M	15,6 M
Snake	Wąż	Serpent	Serpiente
Chicken	Kura	Poule	Gallina
Insect	Owad	Insecte	Insecto
Spider	Pająk	Araignée	Araña
0 legs	0 nóg	0 patte	0 patas
Violin	Skrzypce	Violon	Violín
Guitar	Gitara	Guitare	Guitarra
12-string guitar	Gitara 12-strunowa	Guitare 12 cordes	Guitarra de 12 cuerdas
Harp	Harfa	Harpe	Arpa
4 strings	4 struny	4 cordes	4 cuerdas
Tennis (singles)	Tenis (singiel)	Tennis (simple)	Tenis (individual)
Basketball	Koszykówka	Basket-ball	Baloncesto
Volleyball	Siatkówka	Volley-ball	Voleibol
Football	Piłka nożna	Football	Fútbol
1 player	1 zawodnik	1 joueur	1 jugador
Cat	Kot	Chat	Gato
Human	Człowiek	Humain	Humano
0 teeth	0 zębów	0 dent	0 dientes
Hawaiian	Hawajski	Hawaïen	Hawaiano
English	Angielski	Anglais	Inglés
Turkish	Turecki	Turc	Turco
Polish	Polski	Polonais	Polaco
13 letters	13 liter	13 lettres	13 letras
Chessboard row	Rząd szachownicy	Rangée d'échiquier	Fila del tablero de ajedrez
Deck of cards	Talia kart	Jeu de cartes	Baraja de cartas
Piano keys	Klawisze fortepianu	Touches de piano	Teclas del piano
Bones in the body	Kości w ciele	Os du corps	Huesos del cuerpo
Ice	Lód	Glace	Hielo
Human body	Ludzkie ciało	Corps humain	Cuerpo humano
Boiling water	Wrząca woda	Eau bouillante	Agua hirviendo
Sun's surface	Powierzchnia Słońca	Surface du Soleil	Superficie del Sol
5,500 °C	5500 °C	5 500 °C	5.500 °C
A whisper	Szept	Un murmure	Un susurro
Conversation	Rozmowa	Conversation	Conversación
Rock concert	Koncert rockowy	Concert de rock	Concierto de rock
Jet engine	Silnik odrzutowy	Moteur à réaction	Motor a reacción
Ode to Joy	Oda do radości	Hymne à la joie	Himno de la alegría
Twinkle Twinkle Little Star	Błyszcz, gwiazdko, błyszcz	Ah ! vous dirai-je, maman	Estrellita, ¿dónde estás?
Happy Birthday	Sto lat (Happy Birthday)	Joyeux anniversaire	Cumpleaños feliz
Symphony No. 5	V Symfonia	Symphonie n° 5	Sinfonía n.º 5
Mary Had a Little Lamb	Mary miała małą owieczkę	Mary avait un petit agneau	María tenía un corderito
Turkish March	Marsz turecki	Marche turque	Marcha turca
In the Hall of the Mountain King	W grocie Króla Gór	Dans l'antre du roi de la montagne	En la gruta del rey de la montaña
Brahms' Lullaby	Kołysanka Brahmsa	Berceuse de Brahms	Canción de cuna de Brahms
The Blue Danube	Nad pięknym modrym Dunajem	Le Beau Danube bleu	El Danubio azul
Eine kleine Nachtmusik	Mała nocna muzyka	Petite musique de nuit	Pequeña serenata nocturna
Bridal Chorus (Here Comes the Bride)	Chór weselny (marsz weselny)	Chœur nuptial (marche nuptiale)	Coro nupcial (marcha nupcial)
Old MacDonald Had a Farm	Old MacDonald miał farmę	Old MacDonald avait une ferme	El viejo MacDonald tenía una granja
London Bridge Is Falling Down	London Bridge Is Falling Down	London Bridge Is Falling Down	London Bridge Is Falling Down
Ambulance siren	Syrena karetki	Sirène d'ambulance	Sirena de ambulancia
Doorbell	Dzwonek do drzwi	Sonnette	Timbre
Old telephone ringing	Dzwonek starego telefonu	Sonnerie de vieux téléphone	Timbre de teléfono antiguo
Wall clock	Zegar ścienny	Horloge murale	Reloj de pared
Steam train	Parowóz	Train à vapeur	Tren de vapor
Rain	Deszcz	Pluie	Lluvia
Thunder	Grzmot	Tonnerre	Trueno
Church bell	Dzwon kościelny	Cloche d'église	Campana de iglesia
Cuckoo clock	Zegar z kukułką	Coucou	Reloj de cuco
Car horn	Klakson	Klaxon	Claxon
Ship horn	Syrena statku	Corne de brume	Sirena de barco
Referee whistle	Gwizdek sędziego	Sifflet d'arbitre	Silbato del árbitro
Heartbeat	Bicie serca	Battements de cœur	Latidos del corazón
Popcorn popping	Prażący się popcorn	Pop-corn qui éclate	Palomitas estallando
Typewriter	Maszyna do pisania	Machine à écrire	Máquina de escribir
